event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00065000,65.0,2023-09-15,call,0.0,111.05,112.2,26,0,0.0,0.99096,0.0003,-0.34547,0.0039,2025-08-13T09:23:59.797002
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00065000,65.0,2023-09-15,put,0.0,0.0,0.01,1,0,0.0,-0.00059,4e-05,-0.01958,0.00033,2025-08-13T09:23:59.797015
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00070000,70.0,2023-09-15,call,0.0,106.0,107.25,21,0,0.0,0.99039,0.00034,-0.33915,0.00412,2025-08-13T09:23:59.797018
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00070000,70.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00063,4e-05,-0.01954,0.00035,2025-08-13T09:23:59.797022
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00075000,75.0,2023-09-15,call,0.0,101.05,102.15,29,0,0.0,0.9901,0.00037,-0.32227,0.00422,2025-08-13T09:23:59.797025
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00075000,75.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00069,5e-05,-0.01962,0.00038,2025-08-13T09:23:59.797027
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00080000,80.0,2023-09-15,call,0.0,95.7,97.5,7,0,0.0,0.98941,0.00043,-0.31871,0.00448,2025-08-13T09:23:59.797030
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00080000,80.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00076,6e-05,-0.02001,0.00042,2025-08-13T09:23:59.797033
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00085000,85.0,2023-09-15,call,0.0,91.1,92.05,1,0,0.0,0.9898,0.00045,-0.28269,0.00433,2025-08-13T09:23:59.797035
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00085000,85.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.0008,6e-05,-0.01946,0.00044,2025-08-13T09:23:59.797038
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00090000,90.0,2023-09-15,call,0.0,86.05,87.25,20,0,0.0,0.98642,0.0006,-0.34877,0.00556,2025-08-13T09:23:59.797041
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00090000,90.0,2023-09-15,put,0.0,0.0,0.01,1,0,0.0,-0.00087,8e-05,-0.01947,0.00048,2025-08-13T09:23:59.797044
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00095000,95.0,2023-09-15,call,0.0,81.1,82.25,1,0,0.0,0.98477,0.00071,-0.36047,0.00613,2025-08-13T09:23:59.797046
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00095000,95.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00091,9e-05,-0.01862,0.00049,2025-08-13T09:23:59.797049
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00100000,100.0,2023-09-15,call,0.0,76.05,76.7,16,0,0.0,0.99709,0.00024,-0.07048,0.00142,2025-08-13T09:23:59.797052
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00100000,100.0,2023-09-15,put,0.0,0.0,0.01,3,0,0.0,-0.00099,0.0001,-0.01858,0.00053,2025-08-13T09:23:59.797054
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00105000,105.0,2023-09-15,call,0.0,70.85,71.8,1,0,0.0,1.0,0.0,-0.01533,0.0,2025-08-13T09:23:59.797058
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00105000,105.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00115,0.00012,-0.01964,0.00061,2025-08-13T09:23:59.797061
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00110000,110.0,2023-09-15,call,0.0,66.1,66.7,1,0,0.0,0.99519,0.00042,-0.09369,0.00223,2025-08-13T09:23:59.797064
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00110000,110.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00116,0.00014,-0.01807,0.00062,2025-08-13T09:23:59.797067
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00115000,115.0,2023-09-15,call,0.0,60.65,62.2,2,0,0.0,0.99348,0.00058,-0.11264,0.00292,2025-08-13T09:23:59.797069
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00115000,115.0,2023-09-15,put,0.0,0.0,0.01,0,0,0.0,-0.00126,0.00016,-0.01772,0.00067,2025-08-13T09:23:59.797072
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915C00120000,120.0,2023-09-15,call,0.0,55.9,56.75,3,0,0.0,1.0,0.0,-0.01752,0.0,2025-08-13T09:23:59.797075
AAPL_2023-09-12_iPhone_15,iPhone 15,AAPL,2023-09-12,AAPL230915P00120000,120.0,2023-09-15,put,0.0,0.0,0.01,9,0,0.0,-0.00149,0.00021,-0.01892,0.00078,2025-08-13T09:23:59.797077
