event_id,event_name,ticker,event_date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,collection_timestamp
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00028750,28.75,2020-10-16,call,0.0,92.2,92.5,61,0,0.0,1.0,0.0,-7e-05,0.0,2025-08-14T14:02:40.542245
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00028750,28.75,2020-10-16,put,0.0,0.0,0.01,1,0,0.0,-0.00058,4e-05,-0.01959,0.00022,2025-08-14T14:02:40.542277
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00030000,30.0,2020-10-16,call,0.0,90.95,91.25,0,0,0.0,1.0,0.0,-7e-05,0.0,2025-08-14T14:02:40.542290
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00030000,30.0,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00059,4e-05,-0.01945,0.00023,2025-08-14T14:02:40.542302
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00031250,31.25,2020-10-16,call,0.0,89.7,90.0,6,0,0.0,1.0,0.0,-8e-05,0.0,2025-08-14T14:02:40.542312
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00031250,31.25,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.0006,4e-05,-0.01905,0.00023,2025-08-14T14:02:40.542324
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00032500,32.5,2020-10-16,call,0.0,88.45,88.75,7,0,0.0,1.0,0.0,-8e-05,0.0,2025-08-14T14:02:40.542335
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00032500,32.5,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00062,4e-05,-0.01916,0.00024,2025-08-14T14:02:40.542346
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00033750,33.75,2020-10-16,call,0.0,87.2,87.5,2,0,0.0,1.0,0.0,-8e-05,0.0,2025-08-14T14:02:40.542357
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00033750,33.75,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00064,4e-05,-0.01906,0.00024,2025-08-14T14:02:40.542368
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00035000,35.0,2020-10-16,call,0.0,85.95,86.25,5,0,0.0,1.0,0.0,-9e-05,0.0,2025-08-14T14:02:40.542379
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00035000,35.0,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00067,5e-05,-0.01957,0.00026,2025-08-14T14:02:40.542390
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00036250,36.25,2020-10-16,call,0.0,84.6,85.15,37,0,0.0,0.9983,0.0001,-0.04936,0.0006,2025-08-14T14:02:40.542402
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00036250,36.25,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00068,5e-05,-0.01905,0.00026,2025-08-14T14:02:40.542413
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00037500,37.5,2020-10-16,call,0.0,83.25,83.9,4,0,0.0,1.0,0.0,-9e-05,0.0,2025-08-14T14:02:40.542424
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00037500,37.5,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.0007,5e-05,-0.01918,0.00027,2025-08-14T14:02:40.542435
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00038750,38.75,2020-10-16,call,0.0,82.1,82.65,65,0,0.0,0.99823,0.00011,-0.04824,0.00062,2025-08-14T14:02:40.542446
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00038750,38.75,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00072,5e-05,-0.01913,0.00027,2025-08-14T14:02:40.542457
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016C00040000,40.0,2020-10-16,call,0.0,80.85,81.4,51,0,0.0,0.99867,9e-05,-0.03483,0.00048,2025-08-14T14:02:40.542469
AAPL_2020-10-13_iPhone_12,iPhone 12,AAPL,2020-10-13,AAPL201016P00040000,40.0,2020-10-16,put,0.0,0.0,0.01,0,0,0.0,-0.00073,6e-05,-0.0189,0.00028,2025-08-14T14:02:40.542480
