contract_id,underlying_ticker,expiration,strike,option_type,last_price,mark_price,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,data_source
NVDA210528P00355000,NVDA,2021-05-28,355.0,put,0.0,0.01,0.0,0,0.01,100,0,0,2021-05-28,3.47333,-0.00032,1e-05,-0.06891,0.0004,-1e-05,alpha_vantage
NVDA210528C00360000,NVDA,2021-05-28,360.0,call,0.0,289.88,286.1,7,293.65,7,0,0,2021-05-28,4.13673,0.99771,5e-05,-0.50423,0.00244,0.00982,alpha_vantage
NVDA210528P00360000,NVDA,2021-05-28,360.0,put,0.01,0.01,0.0,0,0.01,100,0,16,2021-05-28,3.39528,-0.00032,1e-05,-0.06836,0.0004,-1e-05,alpha_vantage
NVDA210528C00365000,NVDA,2021-05-28,365.0,call,0.0,284.90,281.05,7,288.75,7,0,0,2021-05-28,4.11722,0.99732,6e-05,-0.58007,0.00282,0.00995,alpha_vantage
NVDA210528P00365000,NVDA,2021-05-28,365.0,put,0.4,0.01,0.0,0,0.01,100,0,1,2021-05-28,3.31724,-0.00033,1e-05,-0.06755,0.00041,-1e-05,alpha_vantage
NVDA210528C00370000,NVDA,2021-05-28,370.0,call,0.0,280.02,276.25,7,283.8,7,0,0,2021-05-28,4.35136,0.99515,0.0001,-1.0418,0.00479,0.01004,alpha_vantage
NVDA210528P00370000,NVDA,2021-05-28,370.0,put,0.02,0.01,0.0,0,0.01,100,0,42,2021-05-28,3.23919,-0.00033,1e-05,-0.06647,0.00041,-1e-05,alpha_vantage
NVDA210528C00375000,NVDA,2021-05-28,375.0,call,183.58,274.80,271.05,1,278.55,7,0,30,2021-05-28,3.33675,0.99939,2e-05,-0.12148,0.00073,0.01026,alpha_vantage
NVDA210528P00375000,NVDA,2021-05-28,375.0,put,0.29,0.01,0.0,0,0.01,100,0,14,2021-05-28,3.18065,-0.00036,1e-05,-0.0701,0.00044,-1e-05,alpha_vantage
NVDA210528C00380000,NVDA,2021-05-28,380.0,call,195.0,269.85,266.05,1,273.65,7,0,2,2021-05-28,3.64894,0.99816,5e-05,-0.36531,0.002,0.01038,alpha_vantage
NVDA210528P00380000,NVDA,2021-05-28,380.0,put,0.01,0.01,0.0,0,0.01,100,0,48,2021-05-28,3.10261,-0.00036,1e-05,-0.0685,0.00044,-1e-05,alpha_vantage
NVDA210528C00385000,NVDA,2021-05-28,385.0,call,0.0,264.80,261.05,1,268.55,1,0,0,2021-05-28,3.18065,0.99937,2e-05,-0.11874,0.00074,0.01054,alpha_vantage
NVDA210528P00385000,NVDA,2021-05-28,385.0,put,0.01,0.01,0.0,0,0.01,100,0,201,2021-05-28,3.02456,-0.00036,1e-05,-0.06664,0.00044,-1e-05,alpha_vantage
NVDA210528C00390000,NVDA,2021-05-28,390.0,call,0.0,259.90,256.05,1,263.75,1,0,0,2021-05-28,3.66845,0.99706,7e-05,-0.5607,0.00305,0.01063,alpha_vantage
NVDA210528P00390000,NVDA,2021-05-28,390.0,put,0.02,0.01,0.0,0,0.01,100,0,14,2021-05-28,2.96603,-0.00038,1e-05,-0.06977,0.00047,-1e-05,alpha_vantage
NVDA210528C00395000,NVDA,2021-05-28,395.0,call,0.0,254.88,251.2,7,258.55,7,0,0,2021-05-28,3.53187,0.99732,7e-05,-0.4964,0.00281,0.01077,alpha_vantage
NVDA210528P00395000,NVDA,2021-05-28,395.0,put,0.01,0.01,0.0,0,0.01,100,0,66,2021-05-28,2.88798,-0.00038,1e-05,-0.06735,0.00047,-1e-05,alpha_vantage
NVDA210528C00400000,NVDA,2021-05-28,400.0,call,227.5,249.93,246.05,1,253.8,7,0,3,2021-05-28,3.5904,0.99627,9e-05,-0.6799,0.00378,0.01089,alpha_vantage
NVDA210528P00400000,NVDA,2021-05-28,400.0,put,0.01,0.01,0.0,0,0.01,100,10,165,2021-05-28,2.80993,-0.00037,1e-05,-0.06468,0.00046,-1e-05,alpha_vantage
NVDA210528C00405000,NVDA,2021-05-28,405.0,call,0.0,244.82,241.0,7,248.65,7,0,0,2021-05-28,3.0831,0.99869,4e-05,-0.22593,0.00146,0.01107,alpha_vantage
NVDA210528P00405000,NVDA,2021-05-28,405.0,put,0.03,0.01,0.0,0,0.01,100,0,0,2021-05-28,2.7514,-0.0004,2e-05,-0.0672,0.00049,-1e-05,alpha_vantage
NVDA210528C00410000,NVDA,2021-05-28,410.0,call,0.0,239.93,236.25,1,243.6,7,0,0,2021-05-28,3.43431,0.99599,0.0001,-0.69348,0.00404,0.01116,alpha_vantage
NVDA210528P00410000,NVDA,2021-05-28,410.0,put,0.04,0.01,0.0,0,0.01,100,0,37,2021-05-28,2.69286,-0.00042,2e-05,-0.06967,0.00052,-1e-05,alpha_vantage
NVDA210528C00415000,NVDA,2021-05-28,415.0,call,0.0,234.75,231.0,7,238.5,7,0,0,2021-05-28,0.01976,1.0,0.0,-0.00057,0.0,0.01137,alpha_vantage
NVDA210528P00415000,NVDA,2021-05-28,415.0,put,0.03,0.01,0.0,0,0.01,100,0,35,2021-05-28,2.61481,-0.00041,2e-05,-0.06611,0.00051,-1e-05,alpha_vantage
NVDA210528C00420000,NVDA,2021-05-28,420.0,call,189.9,229.82,226.1,1,233.55,7,0,0,2021-05-28,2.84896,0.99865,5e-05,-0.2147,0.0015,0.01148,alpha_vantage
NVDA210528P00420000,NVDA,2021-05-28,420.0,put,0.03,0.01,0.0,0,0.01,100,0,129,2021-05-28,2.55628,-0.00044,2e-05,-0.06818,0.00053,-1e-05,alpha_vantage
NVDA210528C00425000,NVDA,2021-05-28,425.0,call,0.0,224.85,221.15,1,228.55,7,0,0,2021-05-28,2.927,0.9978,7e-05,-0.34494,0.00235,0.0116,alpha_vantage
NVDA210528P00425000,NVDA,2021-05-28,425.0,put,0.01,0.01,0.0,0,0.01,100,4,130,2021-05-28,2.47823,-0.00042,2e-05,-0.06405,0.00052,-1e-05,alpha_vantage
NVDA210528C00430000,NVDA,2021-05-28,430.0,call,151.25,219.88,216.15,6,223.6,7,0,0,2021-05-28,2.96603,0.9969,9e-05,-0.47603,0.00321,0.01172,alpha_vantage
NVDA210528P00430000,NVDA,2021-05-28,430.0,put,0.01,0.01,0.0,0,0.01,100,0,235,2021-05-28,2.4197,-0.00045,2e-05,-0.06568,0.00054,-1e-05,alpha_vantage
NVDA210528C00435000,NVDA,2021-05-28,435.0,call,187.95,214.97,211.45,7,218.5,7,2,1,2021-05-28,3.10261,0.99465,0.00015,-0.81111,0.00522,0.01182,alpha_vantage
NVDA210528P00435000,NVDA,2021-05-28,435.0,put,0.01,0.01,0.0,0,0.01,100,5,120,2021-05-28,2.36116,-0.00047,2e-05,-0.06719,0.00057,-1e-05,alpha_vantage
NVDA210528C00440000,NVDA,2021-05-28,440.0,call,163.7,209.85,206.15,7,213.55,7,0,1,2021-05-28,2.71237,0.99758,8e-05,-0.34866,0.00257,0.01201,alpha_vantage
NVDA210528P00440000,NVDA,2021-05-28,440.0,put,0.01,0.01,0.0,0,0.01,150,1,268,2021-05-28,2.30263,-0.00049,2e-05,-0.06858,0.0006,-1e-05,alpha_vantage
NVDA210528C00445000,NVDA,2021-05-28,445.0,call,153.3,204.85,201.0,1,208.7,1,0,1,2021-05-28,2.63433,0.99756,8e-05,-0.34117,0.00259,0.01215,alpha_vantage
NVDA210528P00445000,NVDA,2021-05-28,445.0,put,0.02,0.01,0.0,0,0.01,100,0,236,2021-05-28,2.22458,-0.00047,2e-05,-0.06318,0.00057,-1e-05,alpha_vantage
NVDA210528C00450000,NVDA,2021-05-28,450.0,call,177.12,199.80,197.3,7,202.3,7,0,439,2021-05-28,2.28312,0.99914,4e-05,-0.11469,0.001,0.01231,alpha_vantage
NVDA210528P00450000,NVDA,2021-05-28,450.0,put,0.01,0.01,0.0,0,0.01,100,1,320,2021-05-28,2.16604,-0.00049,2e-05,-0.06405,0.00059,-1e-05,alpha_vantage
NVDA210528C00455000,NVDA,2021-05-28,455.0,call,130.5,194.90,191.15,1,198.65,7,0,3,2021-05-28,2.65384,0.99579,0.00014,-0.56035,0.00422,0.01239,alpha_vantage
NVDA210528P00455000,NVDA,2021-05-28,455.0,put,0.02,0.01,0.0,0,0.01,100,0,182,2021-05-28,2.10751,-0.00051,3e-05,-0.06477,0.00061,-1e-05,alpha_vantage
NVDA210528C00460000,NVDA,2021-05-28,460.0,call,122.51,189.88,186.15,1,193.6,7,0,5,2021-05-28,2.51726,0.9964,0.00013,-0.46213,0.00367,0.01254,alpha_vantage
NVDA210528P00460000,NVDA,2021-05-28,460.0,put,0.01,0.01,0.0,0,0.01,100,0,0,2021-05-28,2.04897,-0.00053,3e-05,-0.06532,0.00064,-1e-05,alpha_vantage
NVDA210528C00465000,NVDA,2021-05-28,465.0,call,159.4,184.97,181.25,7,188.7,7,0,6,2021-05-28,2.63433,0.99371,0.0002,-0.79464,0.00603,0.01262,alpha_vantage
NVDA210528P00465000,NVDA,2021-05-28,465.0,put,0.02,0.01,0.0,0,0.01,100,0,91,2021-05-28,1.99044,-0.00055,3e-05,-0.06569,0.00066,-1e-05,alpha_vantage
