event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
iPhone 12,AAPL,Apple,Consumer Hardware,2020-10-13,2020-10-23,0.0025283391895431677,1.2161436033038342,0.41218246676783454,82,0.010590375949624573,0.01964263228362048,0.01964263228362048,-0.015115923622532512,-0.03644016245518737,-0.03644016245518737,0.05331812366900657,-0.026527331088344597,-0.026527331088344597,0.000743275176390279,-0.017176029725307518,-0.017176029725307518,0.04314363056477477,17727810087.530396,0.153125798336335,145878610.0,152172342.85714287,0.7033694845302352,0.5324992472084454,False,False,0.6833333333333333,2025-08-12T23:21:49.073314
iPhone 13,AAPL,Apple,Consumer Hardware,2021-09-14,2021-09-24,0.0003086274516976115,1.3325684764166106,0.5289273197835322,83,-0.025657530647870175,-0.001661622924788414,-0.001661622924788414,-0.007670189609452965,-0.01403816931818561,-0.01403816931818561,-0.0386189630113124,-0.009562017572575798,-0.009562017572575798,0.006143474791517889,-0.013908001091434308,-0.013908001091434308,0.2599795937198335,14422869112.104952,0.10086703849748298,78355430.0,98726242.85714285,-1.4573384151579623,0.24107748503013054,False,False,0.6916666666666667,2025-08-12T23:21:49.184755
iPhone 14,AAPL,Apple,Consumer Hardware,2022-09-07,2022-09-16,0.0010428997257935007,1.3031820795456899,0.8291469632680055,82,-0.02027455650340318,-0.019612208495914725,-0.019612208495914725,-0.034966518585750894,-0.03707107835307548,-0.013399178502613115,0.0009626478316500098,0.009253855029022873,0.009253855029022873,-0.009617915995960735,0.009040703888698154,0.047896877797299675,0.1487668637652193,12771801373.110455,0.0793820599081825,71965690.0,82671800.0,-0.6073239576895186,0.6054043162109178,False,False,0.6833333333333333,2025-08-12T23:21:49.297522
iPhone 15,AAPL,Apple,Consumer Hardware,2023-09-12,2023-09-22,-4.578202426181073e-05,1.094542278419532,0.44725264344350363,82,-0.035184107274970504,-0.011471245341023038,-0.011471245341023038,-0.023948557234646645,-0.0151459770490673,-0.0151459770490673,-0.007096245745398244,-0.0170606654222204,-0.0170606654222204,-0.011854824415893694,-0.007317038637907447,-0.007317038637907447,0.2969456860944415,14537154391.937382,0.0838783168631524,64083155.0,83112371.42857143,-1.059639033144083,0.36706942172656876,False,False,0.6833333333333333,2025-08-12T23:21:49.409221
M1 Mac Launch,AAPL,Apple,Computing Hardware,2020-06-22,2020-11-10,0.001687633343255749,1.0709737068896792,0.8721057588599826,84,0.015018915823779032,0.016168393468282284,0.017520046674041716,0.03256409760921469,0.040765107534632555,0.034298278675288243,0.020705734400413123,0.02616375656190173,0.0,0.02134481738154559,0.016635428091386295,-0.014601278800803086,0.1427275648590698,14722979795.739412,0.17151497719753991,148625320.0,169838250.0,0.6741453631183458,0.54851597951762,False,False,0.7,2025-08-12T23:21:49.519612
MacBook Pro M1 Pro/Max,AAPL,Apple,Computing Hardware,2021-10-18,2021-10-26,0.0006686369630634907,1.3722853838458293,0.4308638248612146,83,-0.009802142858291629,0.0031126984839731572,0.006506427266105227,0.010772059024824572,0.005130578142475228,0.0006487875131829784,0.040025733064366076,0.011806211166221603,0.0,0.015080040525986993,0.019993061317996386,0.014602394589785073,-0.08285541986816192,9993130845.420599,0.06865128230322325,75956045.0,69662675.0,1.7329083229272824,0.18153260081322123,False,False,0.6916666666666667,2025-08-12T23:21:49.636414
Apple Watch Series 8,AAPL,Apple,Wearables,2022-09-07,2022-09-16,0.0010428997257935007,1.3031820795456899,0.8291469632680055,82,-0.02027455650340318,-0.019612208495914725,-0.019612208495914725,-0.034966518585750894,-0.03707107835307548,-0.013399178502613115,0.0009626478316500098,0.009253855029022873,0.009253855029022873,-0.009617915995960735,0.009040703888698154,0.047896877797299675,0.1487668637652193,12771801373.110455,0.0793820599081825,71965690.0,82671800.0,-0.6073239576895186,0.6054043162109178,False,False,0.6833333333333333,2025-08-12T23:21:49.746651
Vision Pro Announcement,AAPL,Apple,Mixed Reality,2023-06-05,,0.002845306631698182,1.184742550573136,0.6563904323672074,83,-0.01772019694089815,-0.023332241281028558,-0.008042602181598912,-0.015737142062456334,-0.016534500864273653,-0.018580048715432732,0.013145293559420734,-0.007571023967519408,0.0,-0.0020604721335363285,0.005512892771593725,0.0076847139120961305,0.2162399840452962,12837998117.493439,0.07173546444237267,59443285.0,72297300.0,0.652656957768376,0.5605289806566052,False,False,0.6916666666666667,2025-08-12T23:21:49.857564
Vision Pro US Launch,AAPL,Apple,Mixed Reality,2024-01-08,2024-02-02,0.0008090066111675713,1.1099072258034843,0.509949061703151,84,-0.008251456080408733,0.0008516651703640151,0.007700018091326245,0.006267845708091689,0.001554757273957032,0.0016903243786987997,0.0071099544958568295,0.02417495376303025,0.0,-0.0022634984157169358,0.00016154222069308943,0.0019399164110227574,-0.015691652517167975,9858483968.545532,0.053474346090649355,54754590.0,53895400.0,-0.0007785277687104794,0.9994277002707119,False,False,0.7,2025-08-12T23:21:49.971842
RTX 30 Series,NVDA,NVIDIA,Semiconductor Hardware,2020-09-01,2020-09-17,0.003456138042607473,1.0659884879298624,0.42511528459870546,82,0.052278789320224006,0.03834606395094665,0.03834606395094665,0.04040169483600135,-0.043367282535152124,-0.043367282535152124,0.09477846826876157,0.033693692121092855,0.033693692121092855,0.03802172871906029,-0.08671610926093565,-0.08671610926093565,0.2357195311845366,9738970376.702133,0.7738681364420684,595343600.0,735677714.2857143,1.735493560880679,0.18105867328544348,False,False,0.6833333333333333,2025-08-12T23:21:50.083213
