event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
iPhone 12,AAPL,Apple,Consumer Hardware,2020-10-13,2020-10-23,0.0025283437380947517,1.2161412214538345,0.41218157365342206,82,0.010590355633845066,0.01964257853722422,0.01964257853722422,-0.015115770838112993,-0.03643989240858524,-0.03643989240858524,0.05331819916494651,-0.02652733276088426,-0.02652733276088426,0.0007434695279178172,-0.017175706998782125,-0.017175706998782125,0.04314363056477477,17727810087.530396,0.15312575797257716,145878610.0,152172342.85714287,0.7033687404061816,0.532499650306366,False,False,0.6833333333333333,2025-08-14T15:06:52.038278
iPhone 13,AAPL,Apple,Consumer Hardware,2021-09-14,2021-09-24,0.0003086330482255969,1.3325648590806087,0.5289244309557195,83,-0.02565781989539126,-0.001661853713587503,-0.001661853713587503,-0.007670185628513524,-0.014038008757826834,-0.014038008757826834,-0.03861906808330173,-0.009562329244120593,-0.009562329244120593,0.0061437917712861,-0.013907477873773444,-0.013907477873773444,0.2599795937198335,14422869112.104952,0.10086700620599462,78355430.0,98726242.85714285,-1.4573482503980288,0.24107500655696845,False,False,0.6916666666666667,2025-08-14T15:06:52.152322
iPhone 14,AAPL,Apple,Consumer Hardware,2022-09-07,2022-09-16,0.0010429015585163863,1.3031844331192033,0.8291472421298348,82,-0.020274373849661104,-0.019611949819092568,-0.019611949819092568,-0.034966382184796224,-0.03707138678831108,-0.013399509888709076,0.0009629464569937962,0.009253854100843562,0.009253854100843562,-0.009617716275630683,0.009040504225732882,0.04789667427272071,0.1487668637652193,12771801583.355713,0.0793820687435177,71965690.0,82671800.0,-0.6073150436133655,0.6054092061514256,False,False,0.6833333333333333,2025-08-14T15:06:52.264940
iPhone 15,AAPL,Apple,Consumer Hardware,2023-09-12,2023-09-22,-4.57841816432858e-05,1.0945444450145776,0.4472539585333373,82,-0.035184014152235044,-0.011471158238688599,-0.011471158238688599,-0.02394845882811831,-0.015146043868253273,-0.015146043868253273,-0.007096159583494854,-0.017060580981018147,-0.017060580981018147,-0.011854824415893694,-0.007317213433684744,-0.007317213433684744,0.2969456860944415,14537153123.743237,0.08387832431541199,64083155.0,83112371.42857143,-1.0596373510410033,0.3670700764427864,False,False,0.6833333333333333,2025-08-14T15:06:52.375669
M1 Mac Launch,AAPL,Apple,Computing Hardware,2020-06-22,2020-11-10,0.0016876300872717314,1.0709726521643192,0.8721053921343468,84,0.015019020558544984,0.016168315913438987,0.017520238876252908,0.03256420816047033,0.0407653726706446,0.03429844066083988,0.020705915039641365,0.026163938657586927,0.0,0.02134472793146136,0.016635514215134206,-0.014601277522013012,0.1427275648590698,14722981091.502428,0.171514977048515,148625320.0,169838250.0,0.6741420753029386,0.5485178023076227,False,False,0.7,2025-08-14T15:06:52.488920
MacBook Pro M1 Pro/Max,AAPL,Apple,Computing Hardware,2021-10-18,2021-10-26,0.0006686395178775099,1.3722881813320198,0.43086466454423555,83,-0.009802249408069275,0.0031130974561838654,0.006506305117547375,0.010771912034831023,0.005130302874757325,0.0006486169626514146,0.04002572863699072,0.011806101013349002,0.0,0.015080038922130612,0.01999295283536706,0.014602393036729167,-0.08285541986816192,9993131642.646646,0.06865128058363618,75956045.0,69662675.0,1.732941904023189,0.18152643563098966,False,False,0.6916666666666667,2025-08-14T15:06:52.601174
Apple Watch Series 8,AAPL,Apple,Wearables,2022-09-07,2022-09-16,0.0010429015585163863,1.3031844331192033,0.8291472421298348,82,-0.020274373849661104,-0.019611949819092568,-0.019611949819092568,-0.034966382184796224,-0.03707138678831108,-0.013399509888709076,0.0009629464569937962,0.009253854100843562,0.009253854100843562,-0.009617716275630683,0.009040504225732882,0.04789667427272071,0.1487668637652193,12771801583.355713,0.0793820687435177,71965690.0,82671800.0,-0.6073150436133655,0.6054092061514256,False,False,0.6833333333333333,2025-08-14T15:06:52.714025
Vision Pro Announcement,AAPL,Apple,Mixed Reality,2023-06-05,,0.0028453059156787037,1.1847421534790363,0.656392398734596,83,-0.017720011742995007,-0.023332148789816556,-0.008042602261189878,-0.015736968656422167,-0.016534497951439416,-0.018580215523465057,0.01314546994167154,-0.007571023967519408,0.0,-0.0020603002986490093,0.005512892771593725,0.007684542077208922,0.2162399840452962,12837997841.701126,0.0717354751339683,59443285.0,72297300.0,0.6526629904290819,0.5605255802171515,False,False,0.6916666666666667,2025-08-14T15:06:52.825998
Vision Pro US Launch,AAPL,Apple,Mixed Reality,2024-01-08,2024-02-02,0.0008090055914895859,1.1099036011042687,0.5099481401789292,84,-0.0082516857466781,0.000851473266993235,0.007699987393529947,0.00626797615208018,0.0015550731556294912,0.0016906437072539736,0.0071097033515967745,0.024174870884270172,0.0,-0.002263332936664697,0.00016187395641265034,0.001940248441693715,-0.015691652517167975,9858484276.937485,0.05347433891164305,54754590.0,53895400.0,-0.0007861007613774242,0.9994221333267406,False,False,0.7,2025-08-14T15:06:52.937794
RTX 30 Series,NVDA,NVIDIA,Semiconductor Hardware,2020-09-01,2020-09-17,0.0034561386921459366,1.0659880889793991,0.4251153283705624,82,0.052278791141681394,0.03834599192559235,0.03834599192559235,0.040401845828741116,-0.04336713249664928,-0.04336713249664928,0.09477838531954941,0.03369376607201047,0.03369376607201047,0.03802179792761895,-0.08671604005237699,-0.08671604005237699,0.2357195311845366,9738970577.158403,0.7738680937268763,595343600.0,735677714.2857143,1.735494602668776,0.1810584825891909,False,False,0.6833333333333333,2025-08-14T15:06:53.047464
