event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
iPhone 12,AAPL,Apple,Consumer Hardware,2020-10-13,2020-10-23,0.002528341868490673,1.216142406042732,0.4121823530435259,82,0.010590081070801234,0.01964245606111293,0.01964245606111293,-0.01511625297108463,-0.03644037004119144,-0.03644037004119144,0.05331819916494651,-0.02652763964648308,-0.02652763964648308,0.0007432752245304375,-0.017175901302169505,-0.017175901302169505,0.04314363056477477,17727810419.239777,0.15312579111056754,145878610.0,152172342.85714287,0.7033611649064537,0.5325037540285866,False,False,0.6833333333333333,2025-08-12T23:28:11.166415
iPhone 13,AAPL,Apple,Consumer Hardware,2021-09-14,2021-09-24,0.0003086353700633357,1.3325630063294833,0.5289260619416257,83,-0.025657555737604542,-0.001661552707668682,-0.001661552707668682,-0.007670085298376359,-0.014037932825421545,-0.014037932825421545,-0.03861857397836621,-0.009562017572575798,-0.009562017572575798,0.006143580020437467,-0.01390768540467513,-0.01390768540467513,0.2599795937198335,14422868466.48656,0.10086700169083236,78355430.0,98726242.85714285,-1.4573476294001921,0.24107516304713988,False,False,0.6916666666666667,2025-08-12T23:28:11.279079
iPhone 14,AAPL,Apple,Consumer Hardware,2022-09-07,2022-09-16,0.0010429008090425908,1.3031846658177173,0.8291469497098714,82,-0.02027457180635545,-0.019612249147557725,-0.019612249147557725,-0.03496648777748124,-0.03707119036207743,-0.013399417460487232,0.0009626479274120747,0.009253754727104102,0.009253754727104102,-0.009617718187291402,0.00904080416944364,0.04789688255739977,0.1487668637652193,12771800952.619934,0.07938206482323201,71965690.0,82671800.0,-0.6073277854449419,0.6054022164527086,False,False,0.6833333333333333,2025-08-12T23:28:11.390464
iPhone 15,AAPL,Apple,Consumer Hardware,2023-09-12,2023-09-22,-4.578179174316273e-05,1.0945429330980885,0.44725398695419083,82,-0.03518410899948802,-0.011471332385609287,-0.011471332385609287,-0.02394855432859277,-0.01514606097690697,-0.01514606097690697,-0.007096246361194103,-0.017060751329042945,-0.017060751329042945,-0.011854738054084102,-0.007317039277401238,-0.007317039277401238,0.2969456860944415,14537153667.255014,0.0838783200666113,64083155.0,83112371.42857143,-1.0596368549368638,0.367070269539032,False,False,0.6833333333333333,2025-08-12T23:28:11.502922
M1 Mac Launch,AAPL,Apple,Computing Hardware,2020-06-22,2020-11-10,0.001687632027706222,1.0709742128275712,0.8721058598309643,84,0.015018831967223624,0.01616812626286742,0.017519952479953922,0.03256400255138965,0.04076527641878941,0.03429821063038413,0.02070582564551282,0.026163664338379355,0.0,0.02134481738154559,0.016635690833480155,-0.014601278800803086,0.1427275648590698,14722981253.472805,0.17151499417936783,148625320.0,169838250.0,0.6741428534189284,0.5485173709137454,False,False,0.7,2025-08-12T23:28:11.613310
MacBook Pro M1 Pro/Max,AAPL,Apple,Computing Hardware,2021-10-18,2021-10-26,0.0006686436649356753,1.3722820579429424,0.43086486622995407,83,-0.009801746189281299,0.003112938425170746,0.006506648282737748,0.010772296325257884,0.005131032730777767,0.0006490249426022807,0.04002561359639967,0.011806427660570495,0.0,0.015080038922130612,0.019993271904094723,0.014602393036729167,-0.08285541986816192,9993131908.388662,0.06865128240924304,75956045.0,69662675.0,1.7329737990969483,0.18152058020836673,False,False,0.6916666666666667,2025-08-12T23:28:11.723726
Apple Watch Series 8,AAPL,Apple,Wearables,2022-09-07,2022-09-16,0.0010429008090425908,1.3031846658177173,0.8291469497098714,82,-0.02027457180635545,-0.019612249147557725,-0.019612249147557725,-0.03496648777748124,-0.03707119036207743,-0.013399417460487232,0.0009626479274120747,0.009253754727104102,0.009253754727104102,-0.009617718187291402,0.00904080416944364,0.04789688255739977,0.1487668637652193,12771800952.619934,0.07938206482323201,71965690.0,82671800.0,-0.6073277854449419,0.6054022164527086,False,False,0.6833333333333333,2025-08-12T23:28:11.833618
Vision Pro Announcement,AAPL,Apple,Mixed Reality,2023-06-05,,0.002845302298310326,1.184744662378514,0.6563925950630817,83,-0.01772004094859695,-0.023332172993705436,-0.00804259361703658,-0.015736876383146105,-0.016534572571260408,-0.018580118328953128,0.013145293559420734,-0.007571023967519408,0.0,-0.0020602143812054052,0.005512806854149899,0.0076846279946525264,0.2162399840452962,12837997979.597282,0.07173546978817003,59443285.0,72297300.0,0.6526692051364231,0.560522077179528,False,False,0.6916666666666667,2025-08-12T23:28:11.945121
Vision Pro US Launch,AAPL,Apple,Mixed Reality,2024-01-08,2024-02-02,0.000809005307928068,1.1099040765089523,0.5099486126983623,84,-0.008251686183060946,0.0008516330456117627,0.0076999789137109885,0.0062678859188906415,0.0015548984683270602,0.0016904690939238158,0.007109870979030264,0.024174868831050578,0.0,-0.0022634156761977,0.0001617080885389921,0.0019400824263444694,-0.015691652517167975,9858484071.34285,0.05347434222234954,54754590.0,53895400.0,-0.0007860831007332466,0.9994221463091665,False,False,0.7,2025-08-12T23:28:12.058814
RTX 30 Series,NVDA,NVIDIA,Semiconductor Hardware,2020-09-01,2020-09-17,0.0034561407618537584,1.0659880148631882,0.4251157329459729,82,0.05227872309478314,0.03834569953051287,0.03834569953051287,0.04040191349314146,-0.04336705457482326,-0.04336705457482326,0.09477824096464227,0.03369355145064379,0.03369355145064379,0.038022082656213874,-0.08671578122256529,-0.08671578122256529,0.2357195311845366,9738970376.702133,0.7738680191547918,595343600.0,735677714.2857143,1.7354951654284885,0.18105837957777313,False,False,0.6833333333333333,2025-08-12T23:28:12.172658
