ticker,date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,event_name,event_company,event_category
AAPL,2024-01-08,AAPL240112P00130000,130.0,2024-01-12,put,0.0,0.0,0.01,0,0,0.0,-0.00149,0.00021,-0.01378,0.00094,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00135000,135.0,2024-01-12,call,0.0,50.35,50.95,0,0,0.0,0.99809,0.00029,-0.03551,0.00118,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00135000,135.0,2024-01-12,put,0.0,0.0,0.01,0,0,0.0,-0.00162,0.00026,-0.01336,0.00102,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00140000,140.0,2024-01-12,call,0.0,45.15,46.15,1,0,0.0,0.99829,0.0003,-0.03287,0.00107,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00140000,140.0,2024-01-12,put,0.0,0.0,0.01,1,0,0.0,-0.00171,0.0003,-0.01244,0.00107,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00145000,145.0,2024-01-12,call,0.0,40.35,40.95,1,0,0.0,0.99891,0.00024,-0.02801,0.00071,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00145000,145.0,2024-01-12,put,0.0,0.0,0.01,3,0,0.0,-0.00213,0.00041,-0.01363,0.00131,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00150000,150.0,2024-01-12,call,0.0,35.1,36.1,10,0,0.0,1.0,0.0,-0.02189,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00150000,150.0,2024-01-12,put,0.0,0.0,0.01,0,0,0.0,-0.00212,0.00048,-0.01167,0.0013,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00152500,152.5,2024-01-12,call,0.0,32.55,33.75,0,0,0.0,0.9996,0.00013,-0.02425,0.00028,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00152500,152.5,2024-01-12,put,0.0,0.0,0.01,0,0,0.0,-0.00266,0.00062,-0.01352,0.00159,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00155000,155.0,2024-01-12,call,0.0,30.35,31.15,34,0,0.0,0.98409,0.0025,-0.10145,0.00774,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00155000,155.0,2024-01-12,put,0.0,0.0,0.01,229,0,0.0,-0.00261,0.00066,-0.01215,0.00156,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00157500,157.5,2024-01-12,call,0.0,27.9,28.6,0,0,0.0,0.98234,0.00295,-0.103,0.00846,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00157500,157.5,2024-01-12,put,0.0,0.0,0.01,14,0,0.0,-0.00332,0.00088,-0.01415,0.00195,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00160000,160.0,2024-01-12,call,0.0,25.45,26.15,16,0,0.0,0.97472,0.0041,-0.1289,0.01146,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00160000,160.0,2024-01-12,put,0.0,0.0,0.01,487,0,0.0,-0.00322,0.00095,-0.0124,0.0019,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00162500,162.5,2024-01-12,call,0.0,23.0,23.4,0,0,0.0,0.98866,0.0027,-0.06428,0.00578,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00162500,162.5,2024-01-12,put,0.0,0.0,0.01,193,0,0.0,-0.00305,0.00102,-0.01049,0.00181,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00165000,165.0,2024-01-12,call,0.0,20.5,20.95,199,0,0.0,0.98174,0.00422,-0.08304,0.0087,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00165000,165.0,2024-01-12,put,0.0,0.0,0.01,848,0,0.0,-0.00406,0.00144,-0.0124,0.00233,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00167500,167.5,2024-01-12,call,0.0,17.9,18.4,5,0,0.0,1.0,0.0,-0.02445,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00167500,167.5,2024-01-12,put,0.0,0.01,0.02,518,0,0.0,-0.00378,0.00156,-0.01004,0.00219,Vision Pro US Launch,Apple,Mixed Reality
