event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
iPhone 12,AAPL,Apple,Consumer Hardware,2020-10-13,2020-10-23,0.0025283443214535214,1.2161418963336112,0.4121817867356261,82,0.010590454435743402,0.019642622746817686,0.019642622746817686,-0.01511595949007897,-0.03644001733765513,-0.03644001733765513,0.05331833196970748,-0.026527204988994635,-0.026527204988994635,0.0007431455445432444,-0.017175962732617567,-0.017175962732617567,0.04314363056477477,17727810750.949158,0.15312577379386186,145878610.0,152172342.85714287,0.7033717111699221,0.5324980410214528,False,False,0.6833333333333333,2025-08-12T23:31:53.828754
iPhone 13,AAPL,Apple,Consumer Hardware,2021-09-14,2021-09-24,0.0003086337445688391,1.332565721649208,0.5289242483241339,83,-0.025657311244095524,-0.0016617509189620055,-0.0016617509189620055,-0.0076701963346179885,-0.014037905488601277,-0.014037905488601277,-0.03861857007151359,-0.009561913349856788,-0.009561913349856788,0.006143368916138092,-0.013907789170093277,-0.013907789170093277,0.2599795937198335,14422869542.517212,0.10086700921610278,78355430.0,98726242.85714285,-1.4573576551525345,0.2410726365917849,False,False,0.6916666666666667,2025-08-12T23:31:53.940207
iPhone 14,AAPL,Apple,Consumer Hardware,2022-09-07,2022-09-16,0.0010429011008450523,1.3031842642003497,0.8291478290909007,82,-0.020274567767946033,-0.019612240505380796,-0.019612240505380796,-0.03496617649755815,-0.037070975478555715,-0.013399100126125732,0.0009626479274120747,0.009253957187320916,0.009253957187320916,-0.009617618805031647,0.00904080416944364,0.04789698193965952,0.1487668637652193,12771800952.619934,0.07938205729465896,71965690.0,82671800.0,-0.6073201277450695,0.6054064171761289,False,False,0.6833333333333333,2025-08-12T23:31:54.049889
iPhone 15,AAPL,Apple,Consumer Hardware,2023-09-12,2023-09-22,-4.578149489794961e-05,1.0945438187288254,0.44725415034248167,82,-0.03518385688431663,-0.011471079096328501,-0.011471079096328501,-0.023948295607103813,-0.01514588876915913,-0.01514588876915913,-0.007095986643869567,-0.01706041063296415,-0.01706041063296415,-0.011854823379807145,-0.007317212794175854,-0.007317212794175854,0.2969456860944415,14537153486.084421,0.08387831902127015,64083155.0,83112371.42857143,-1.0596343293963337,0.36707125254464174,False,False,0.6833333333333333,2025-08-12T23:31:54.161679
M1 Mac Launch,AAPL,Apple,Computing Hardware,2020-06-22,2020-11-10,0.0016876338433061424,1.0709743916473384,0.8721055449448432,84,0.015018737697775085,0.016168124321188353,0.01751995185428695,0.032564001209265184,0.04076527375429074,0.03429829398316059,0.02070582749649219,0.026163666689763776,0.0,0.021344819250939784,0.01663569229044559,-0.014601192498887694,0.1427275648590698,14722980119.680166,0.17151498097127946,148625320.0,169838250.0,0.6741391628199007,0.5485194170143973,False,False,0.7,2025-08-12T23:31:54.274042
MacBook Pro M1 Pro/Max,AAPL,Apple,Computing Hardware,2021-10-18,2021-10-26,0.0006686435764217183,1.3722792591033037,0.4308634785261594,83,-0.009801982823923111,0.0031125338478894806,0.006506115945678673,0.0107718943334629,0.00513065045628995,0.0006488477466753632,0.04002539236996672,0.011805885789558657,0.0,0.015080148486108946,0.019993382513179503,0.014602715211636808,-0.08285541986816192,9993132307.001686,0.06865127795124612,75956045.0,69662675.0,1.7329456710998958,0.18152574404505545,False,False,0.6916666666666667,2025-08-12T23:31:54.386586
Apple Watch Series 8,AAPL,Apple,Wearables,2022-09-07,2022-09-16,0.0010429011008450523,1.3031842642003497,0.8291478290909007,82,-0.020274567767946033,-0.019612240505380796,-0.019612240505380796,-0.03496617649755815,-0.037070975478555715,-0.013399100126125732,0.0009626479274120747,0.009253957187320916,0.009253957187320916,-0.009617618805031647,0.00904080416944364,0.04789698193965952,0.1487668637652193,12771800952.619934,0.07938205729465896,71965690.0,82671800.0,-0.6073201277450695,0.6054064171761289,False,False,0.6833333333333333,2025-08-12T23:31:54.497291
Vision Pro Announcement,AAPL,Apple,Mixed Reality,2023-06-05,,0.002845306533810042,1.184741754323317,0.6563906666043448,83,-0.017720185882748568,-0.02333205788830915,-0.00804268830045751,-0.015737226209137284,-0.016534584937643076,-0.018580131776771813,0.013145205368318313,-0.007571108588914632,0.0,-0.0020604721335363285,0.005512892771593725,0.0076847139120961305,0.2162399840452962,12837998255.389595,0.07173546521290128,59443285.0,72297300.0,0.6526620443127853,0.5605261135149958,False,False,0.6916666666666667,2025-08-12T23:31:54.612947
Vision Pro US Launch,AAPL,Apple,Mixed Reality,2024-01-08,2024-02-02,0.0008090033987123025,1.109904430775715,0.5099482471026804,84,-0.008251595773468911,0.0008515493593101902,0.007700062807789312,0.00626797224575582,0.001555069490720254,0.0016905586982487505,0.007109786868416679,0.02417495581625717,0.0,-0.0022634156761977,0.0001617910157638569,0.0019400824263444694,-0.015691652517167975,9858484276.937485,0.05347434333753498,54754590.0,53895400.0,-0.0007835268858766445,0.9994240253952127,False,False,0.7,2025-08-12T23:31:54.726280
RTX 30 Series,NVDA,NVIDIA,Semiconductor Hardware,2020-09-01,2020-09-17,0.003456132587158794,1.065990524310624,0.4251158404082276,82,0.052279140203542525,0.03834613672495926,0.03834613672495926,0.040401871200781606,-0.04336675608590816,-0.04336675608590816,0.09477829518918512,0.03369383761246603,0.03369383761246603,0.03802179529618521,-0.08671582642522391,-0.08671582642522391,0.2357195311845366,9738971278.755344,0.7738679149019491,595343600.0,735677714.2857143,1.7355217590229144,0.1810535117792194,False,False,0.6833333333333333,2025-08-12T23:31:54.836217
