fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2006-06-30,2006-07-27,0.054,-0.02,0.074,370.0,pre-market
2006-03-31,2006-04-27,-0.114,-0.132,0.018,13.6364,pre-market
2005-12-31,2006-01-26,0.274,0.046,0.228,495.6522,pre-market
2005-09-30,2005-10-27,0.048,0.006,0.042,700.0,pre-market
2005-06-30,2005-07-28,-0.016,0.02,-0.036,-180.0,pre-market
2004-06-30,2004-07-28,0.044,0.072,-0.028,-38.8889,pre-market
2004-03-31,2004-04-27,-0.08,-0.074,-0.006,-8.1081,pre-market
2003-09-30,2003-10-23,0.0024,,0.0,,pre-market
2002-12-31,2003-01-29,0.21,0.046,0.164,356.5217,pre-market
2000-12-31,2000-12-31,0.1324,,0.0,,pre-market
